beed,/bid/,consistent
beld,/bEld/,consistent
bink,/bINk/,consistent
bleam,/blim/,consistent
bort,/bort/,consistent
brobe,/brob/,consistent
cath,/kAT/,consistent
cath,/kaT/,consistent
cobe,/kob/,consistent
dold,/dold/,consistent
dold,/dald/,consistent
doon,/dun/,consistent
dore,/dor/,consistent
dreed,/drid/,consistent
feal,/fil/,consistent
gode,/god/,consistent
grool,/grul/,consistent
grool,/grUl/,consistent
hean,/hin/,consistent
heef,/hif/,consistent
hode,/hod/,consistent
hoil,/hYl/,consistent
lail,/lel/,consistent
lole,/lol/,consistent
meak,/mik/,consistent
meak,/mek/,consistent
moop,/mup/,consistent
moop,/mUp/,consistent
mune,/mun/,consistent
mune,/mjun/,consistent
nust,/nVst/,consistent
peet,/pit/,consistent
pilt,/pIlt/,consistent
plore,/plor/,consistent
pode,/pod/,consistent
pold,/pold/,consistent
pold,/pald/,consistent
prain,/pren/,consistent
sheed,/Sid/,consistent
soad,/sod/,consistent
soad,/sOd/,consistent
speet,/spit/,consistent
steet,/stit/,consistent
suff,/sVf/,consistent
sust,/sVst/,consistent
sweal,/swil/,consistent
taze,/tez/,consistent
weat,/wet/,consistent
weat,/wit/,consistent
weat,/wEt/,consistent
wosh,/waS/,consistent
wote,/wot/,consistent
wuff,/wVf/,consistent
bild,/bIld/,inconsistent
bild,/b!ld/,inconsistent
bint,/bInt/,inconsistent
bint,/b!nt/,inconsistent
blead,/blEd/,inconsistent
blead,/blid/,inconsistent
bood,/bUd/,inconsistent
bood,/bVd/,inconsistent
bood,/bud/,inconsistent
bost,/bost/,inconsistent
bost,/bVst/,inconsistent
bost,/bOst/,inconsistent
brove,/brov/,inconsistent
brove,/bruv/,inconsistent
brove,/brVv/,inconsistent
cose,/kos/,inconsistent
cose,/koz/,inconsistent
cose,/kuz/,inconsistent
coth,/koT/,inconsistent
coth,/kOT/,inconsistent
dere,/der/,inconsistent
dere,/dir/,inconsistent
dere,/dUr/,inconsistent
domb,/dom/,inconsistent
domb,/dum/,inconsistent
domb,/dam/,inconsistent
domb,/damb/,inconsistent
doot,/dut/,inconsistent
doot,/dUt/,inconsistent
drood,/drUd/,inconsistent
drood,/drVd/,inconsistent
drood,/drud/,inconsistent
fead,/fid/,inconsistent
fead,/fEd/,inconsistent
gome,/gom/,inconsistent
gome,/gVm/,inconsistent
grook,/grUk/,inconsistent
grook,/gruk/,inconsistent
haid,/hAd/,inconsistent
haid,/hEd/,inconsistent
haid,/hed/,inconsistent
heaf,/hif/,inconsistent
heaf,/hEf/,inconsistent
heen,/hin/,inconsistent
heen,/hIn/,inconsistent
hove,/hov/,inconsistent
hove,/huv/,inconsistent
hove,/hVv/,inconsistent
lome,/lom/,inconsistent
lome,/lVm/,inconsistent
lool,/lUl/,inconsistent
lool,/lul/,inconsistent
mear,/mer/,inconsistent
mear,/mir/,inconsistent
mone,/mon/,inconsistent
mone,/mVn/,inconsistent
mone,/mOn/,inconsistent
moof,/mUf/,inconsistent
moof,/muf/,inconsistent
nush,/nVS/,inconsistent
nush,/nUS/,inconsistent
pild,/pIld/,inconsistent
pild,/p!ld/,inconsistent
plove,/plov/,inconsistent
plove,/pluv/,inconsistent
plove,/plVv/,inconsistent
pomb,/pom/,inconsistent
pomb,/pum/,inconsistent
pomb,/pam/,inconsistent
pomb,/pamb/,inconsistent
poot,/pUt/,inconsistent
poot,/put/,inconsistent
pove,/pov/,inconsistent
pove,/puv/,inconsistent
pove,/pVv/,inconsistent
praid,/prAd/,inconsistent
praid,/pred/,inconsistent
praid,/prEd/,inconsistent
shead,/Sid/,inconsistent
shead,/SEd/,inconsistent
sood,/sUd/,inconsistent
sood,/sVd/,inconsistent
sood,/sud/,inconsistent
sost,/sost/,inconsistent
sost,/sVst/,inconsistent
sost,/sOst/,inconsistent
speat,/spet/,inconsistent
speat,/spit/,inconsistent
speat,/spEt/,inconsistent
steat,/stet/,inconsistent
steat,/stit/,inconsistent
steat,/stEt/,inconsistent
sull,/sVl/,inconsistent
sull,/sUl/,inconsistent
sweak,/swek/,inconsistent
sweak,/swik/,inconsistent
tave,/tAv/,inconsistent
tave,/tev/,inconsistent
tave,/tav/,inconsistent
wead,/wid/,inconsistent
wead,/wEd/,inconsistent
wone,/won/,inconsistent
wone,/wVn/,inconsistent
wone,/wOn/,inconsistent
wull,/wVl/,inconsistent
wull,/wUl/,inconsistent
wush,/wVS/,inconsistent
wush,/wUS/,inconsistent