Ortho,type,frequency
best,consistent,high
big,consistent,high
came,consistent,high
class,consistent,high
dark,consistent,high
did,consistent,high
fact,consistent,high
got,consistent,high
group,consistent,high
him,consistent,high
main,consistent,high
out,consistent,high
page,consistent,high
place,consistent,high
see,consistent,high
soon,consistent,high
stop,consistent,high
tell,consistent,high
week,consistent,high
when,consistent,high
which,consistent,high
will,consistent,high
with,consistent,high
write,consistent,high
beam,consistent,low
broke,consistent,low
bus,consistent,low
deed,consistent,low
dots,consistent,low
fade,consistent,low
float,consistent,low
grape,consistent,low
lunch,consistent,low
peel,consistent,low
pitch,consistent,low
pump,consistent,low
ripe,consistent,low
sank,consistent,low
slam,consistent,low
slip,consistent,low
stunt,consistent,low
swore,consistent,low
trunk,consistent,low
wake,consistent,low
wax,consistent,low
weld,consistent,low
wing,consistent,low
wit,consistent,low
base,inconsistent,high
bone,inconsistent,high
but,inconsistent,high
catch,inconsistent,high
cool,inconsistent,high
days,inconsistent,high
dear,inconsistent,high
five,inconsistent,high
flat,inconsistent,high
flew,inconsistent,high
form,inconsistent,high
go,inconsistent,high
goes,inconsistent,high
grow,inconsistent,high
here,inconsistent,high
home,inconsistent,high
meat,inconsistent,high
paid,inconsistent,high
plant,inconsistent,high
roll,inconsistent,high
root,inconsistent,high
sand,inconsistent,high
small,inconsistent,high
speak,inconsistent,high
brood,inconsistent,low
cook,inconsistent,low
cord,inconsistent,low
cove,inconsistent,low
cramp,inconsistent,low
dare,inconsistent,low
fowl,inconsistent,low
gull,inconsistent,low
harm,inconsistent,low
hoe,inconsistent,low
lash,inconsistent,low
leaf,inconsistent,low
loss,inconsistent,low
mad,inconsistent,low
moose,inconsistent,low
moth,inconsistent,low
mouse,inconsistent,low
mush,inconsistent,low
pork,inconsistent,low
pose,inconsistent,low
pouch,inconsistent,low
rave,inconsistent,low
tint,inconsistent,low
toad,inconsistent,low
are,exception,high
both,exception,high
break,exception,high
choose,exception,high
come,exception,high
do,exception,high
does,exception,high
done,exception,high
foot,exception,high
give,exception,high
great,exception,high
have,exception,high
move,exception,high
pull,exception,high
put,exception,high
said,exception,high
says,exception,high
shall,exception,high
want,exception,high
watch,exception,high
were,exception,high
what,exception,high
word,exception,high
work,exception,high
bowl,exception,low
broad,exception,low
bush,exception,low
deaf,exception,low
doll,exception,low
flood,exception,low
gross,exception,low
lose,exception,low
pear,exception,low
phase,exception,low
pint,exception,low
plow,exception,low
rouse,exception,low
sew,exception,low
shoe,exception,low
spook,exception,low
swamp,exception,low
swarm,exception,low
touch,exception,low
wad,exception,low
wand,exception,low
wash,exception,low
wool,exception,low
worm,exception,low