ELPcode,consonantal,sonorant,syllabic,nasal,voiced,continuant,labial,alveolar,palatal,anterior,velar,coronal,sibilant,high,mid,low,back,central,round,tense,reduced
p,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
b,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
t,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
d,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
k,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
g,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
f,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
v,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
T,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
D,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
s,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
z,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
S,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Z,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
C,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
J,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
h,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
n,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
N,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
l,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
L,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
r,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
j,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
w,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
I,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
e,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
E,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
a,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
@,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
V,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
u,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
U,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
o,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
O,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
A,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Y,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0
#,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0
!,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
_,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1